"filename", "language", "YAML", "Dart", "C++", "Markdown", "Properties", "Groovy", "XML", "JSON", "HTML", "Swift", "comment", "blank", "total"
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistics_products/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistics_products/logistics_products.dart", "Dart", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 134
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/print_guides/controllers/controllers.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/print_guides/model_guide/model_guide.dart", "Dart", 0, 490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 499
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/print_guides/print_guides.dart", "Dart", 0, 473, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 494
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/printed_guides/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/printed_guides/printedguides.dart", "Dart", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 100
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/profit_date/profit_date.dart", "Dart", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 80
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/proof_payment/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/proof_payment/payments_by_transport.dart", "Dart", 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 241
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/proof_payment/proof_payment.dart", "Dart", 0, 418, 0, 0, 0, 0, 0, 0, 0, 0, 12, 31, 461
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/provider_invoices/provider_invoices.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/remote_support/remote_support.dart", "Dart", 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 118
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/returns/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/returns/return_details.dart", "Dart", 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 188
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/returns/returns.dart", "Dart", 0, 348, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 359
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/sales_invoices/sales_invoices.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping/shopping.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 90
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping_status/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/shopping_status/shopping_status.dart", "Dart", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 90
